ID,RSU Code,SDU Billing Rates,Circle,GST State,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
,,,,,fji5re0ipo,SER-FSDU-CFT-12F,52,,416
,,,,,fji50fkat5,SER-FSDU-CFT-24F,52,,416
,,,,,fji55phlp9,SER-FSDU-CFT-48F,52,,416
VE3-0-DEL-11269,VE3-0,DEL 1 Year Fix,DEL,Uttar Pradesh,fji5rlvm82,SER-FSDU-CFT-6F,102,,1600
,,,,,fji5j6ntsc,SER-FSDU-CFT-12F,102,,1600
,,,,,fji5oc8oo7,SER-FSDU-CFT-24F,102,,1600
,,,,,fji5i18v7q,SER-FSDU-CFT-48F,102,,1600
VE2-0-DEL-11268,VE2-0,DEL 1 Year Fix,DEL,Uttar Pradesh,fji5qhu0j2,SER-FSDU-CFT-6F,134,,1600
,,,,,fji5rcrilp,SER-FSDU-CFT-12F,134,,1600
,,,,,fji5pikr5l,SER-FSDU-CFT-24F,134,,1600
,,,,,fji5i57n0t,SER-FSDU-CFT-48F,134,,1600
V8Y-0-DEL-11267,V8Y-0,DEL 1 Year Fix,DEL,Delhi,fji51p2ei6,SER-FSDU-CFT-6F,65,870,568
,,,,,fji5h3b4gc,SER-FSDU-CFT-12F,65,795,568
,,,,,fji5h5gb5t,SER-FSDU-CFT-24F,65,795,568
,,,,,fji5m0hdro,SER-FSDU-CFT-48F,65,710,568
V3V-0-DEL-11266,V3V-0,DEL 1 Year Fix,DEL,,fji51jsdf1,SER-FSDU-CFT-6F,76,1254,608
,,,,,fji54phtu9,SER-FSDU-CFT-12F,76,1198,608
,,,,,fji50sioff,SER-FSDU-CFT-24F,76,2442,608
,,,,,fji5uletnc,SER-FSDU-CFT-48F,76,1084,608
V3K-0-DEL-11265,V3K-0,DEL 1 Year Fix,DEL,,fji55ku8mu,SER-FSDU-CFT-6F,72,1495,576
,,,,,fji58fqnah,SER-FSDU-CFT-12F,72,1521,576
,,,,,fji536e4ln,SER-FSDU-CFT-24F,72,3687,576
,,,,,fji5bk17t2,SER-FSDU-CFT-48F,72,699,576
V3H-0-DEL-11264,V3H-0,DEL 1 Year Fix,DEL,,fji46rav9s,SER-FSDU-CFT-6F,196,4910,1568
,,,,,fji4t67bgk,SER-FSDU-CFT-12F,196,3070,1568
,,,,,fji4frujjs,SER-FSDU-CFT-24F,196,1590,1568
,,,,,fji48ccb1n,SER-FSDU-CFT-48F,196,1780,1568
U3L-0-DEL-11263,U3L-0,DEL 1 Year Fix,DEL,,fji41i6ol3,SER-FSDU-CFT-6F,221,8937,1768
,,,,,fji41gsf9t,SER-FSDU-CFT-12F,221,6041,1768
,,,,,fji4olum0t,SER-FSDU-CFT-24F,221,8937,1768
,,,,,fji4b6nt5t,SER-FSDU-CFT-48F,221,0,1768
U3K-0-DEL-11262,U3K-0,DEL 1 Year Fix,DEL,,fji47l6m0k,SER-FSDU-CFT-6F,104,2203,832
,,,,,fji4bkgmhi,SER-FSDU-CFT-12F,104,2285,832
,,,,,fji4vr4qrp,SER-FSDU-CFT-24F,104,3663,832
,,,,,fji4621atr,SER-FSDU-CFT-48F,104,715,832
U3J-0-DEL-11261,U3J-0,DEL 1 Year Fix,DEL,,fji4r2rrjr,SER-FSDU-CFT-6F,225,1275.0; 10678.0,1800
,,,,,fji4m86c31,SER-FSDU-CFT-12F,225,135.0; 7349.0,1800
,,,,,fji4eqruka,SER-FSDU-CFT-24F,225,11779,1800
,,,,,fji4efmnti,SER-FSDU-CFT-48F,225,0,1800
TJ3-0-DEL-11260,TJ3-0,DEL 1 Year Fix,DEL,,fji4r4opc5,SER-FSDU-CFT-6F,300,9000,3504
,,,,,fji4e8e9nt,SER-FSDU-CFT-12F,300,4770,3504
,,,,,fji490sed4,SER-FSDU-CFT-24F,300,1425,3504
,,,,,fji4152936,SER-FSDU-CFT-48F,300,1695,3504
T3G-0-DEL-11259,T3G-0,DEL 1 Year Fix,DEL,,fji4fqkbas,SER-FSDU-CFT-6F,47,1896,376
,,,,,fji4823o5o,SER-FSDU-CFT-12F,47,2724,376
,,,,,fji48olrsc,SER-FSDU-CFT-24F,47,1280,376
,,,,,fji4uo5v6o,SER-FSDU-CFT-48F,47,0,376
T3F-0-DEL-11258,T3F-0,DEL 1 Year Fix,DEL,,fji4v0g3jp,SER-FSDU-CFT-6F,77,4080,616
,,,,,fji4v11mfi,SER-FSDU-CFT-12F,77,1920,616
,,,,,fji4asknqi,SER-FSDU-CFT-24F,77,640,616
,,,,,fji4m8b73l,SER-FSDU-CFT-48F,77,0,616
SN3-0-DEL-11257,SN3-0,DEL 1 Year Fix,DEL,,fji4e0ku7t,SER-FSDU-CFT-6F,64,2260,904
,,,,,fji4mhdpg3,SER-FSDU-CFT-12F,64,1100,904
,,,,,fji45o95gc,SER-FSDU-CFT-24F,64,840,904
,,,,,fji4chsfkd,SER-FSDU-CFT-48F,64,0,904
SK2-0-DEL-11256,SK2-0,DEL 1 Year Fix,DEL,,fji4no6ceo,SER-FSDU-CFT-6F,128,0,1152
,,,,,fji4skh3nt,SER-FSDU-CFT-12F,128,0,1152
,,,,,fji4s8jv9q,SER-FSDU-CFT-24F,128,0,1152
,,,,,fji44ge8bd,SER-FSDU-CFT-48F,128,0,1152
S3X-0-DEL-11255,S3X-0,DEL 1 Year Fix,DEL,,fji3k5hhtj,SER-FSDU-CFT-6F,222,8940,1776
,,,,,fji3r43pjh,SER-FSDU-CFT-12F,222,4224,1776
,,,,,fji338409o,SER-FSDU-CFT-24F,222,3444,1776
