"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","37A-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",100,0,800
"","","","","","","SER-FSDU-CFT-12F",100,0,800
"","","","","","","SER-FSDU-CFT-24F",100,0,800
"","","","","","","SER-FSDU-CFT-48F",100,0,800
"","3BB-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",44,0,704
"","","","","","","SER-FSDU-CFT-12F",44,0,704
"","","","","","","SER-FSDU-CFT-24F",44,0,704
"","","","","","","SER-FSDU-CFT-48F",44,0,704
"","3BZ-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",109,0,872
"","","","","","","SER-FSDU-CFT-12F",109,0,872
"","","","","","","SER-FSDU-CFT-24F",109,0,872
"","","","","","","SER-FSDU-CFT-48F",109,0,872
"","3BZ - 1-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",104,0,832
"","","","","","","SER-FSDU-CFT-12F",104,0,832
"","","","","","","SER-FSDU-CFT-24F",104,0,832
"","","","","","","SER-FSDU-CFT-48F",104,0,832
"","3G4-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",64,0,1024
"","","","","","","SER-FSDU-CFT-12F",64,0,1024
"","","","","","","SER-FSDU-CFT-24F",64,0,1024
"","","","","","","SER-FSDU-CFT-48F",64,0,1024
"","3I5-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",205,0,1640
"","","","","","","SER-FSDU-CFT-12F",205,0,1640
"","","","","","","SER-FSDU-CFT-24F",205,0,1640
"","","","","","","SER-FSDU-CFT-48F",205,0,1640
"","3KG-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",354,0,2832
"","","","","","","SER-FSDU-CFT-12F",354,0,2832
"","","","","","","SER-FSDU-CFT-24F",354,0,2832
"","","","","","","SER-FSDU-CFT-48F",354,0,2832
"","3LM-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",204,0,1632
"","","","","","","SER-FSDU-CFT-12F",204,0,1632
"","","","","","","SER-FSDU-CFT-24F",204,0,1632
"","","","","","","SER-FSDU-CFT-48F",204,0,1632
"","3LM - 1-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",105,0,840
"","","","","","","SER-FSDU-CFT-12F",105,0,840
"","","","","","","SER-FSDU-CFT-24F",105,0,840
"","","","","","","SER-FSDU-CFT-48F",105,0,840
"","3LV-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",214,0,3424
"","","","","","","SER-FSDU-CFT-12F",214,0,3424
"","","","","","","SER-FSDU-CFT-24F",214,0,3424
"","","","","","","SER-FSDU-CFT-48F",214,0,3424
"","3MH-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",68,0,544
"","","","","","","SER-FSDU-CFT-12F",68,0,544
"","","","","","","SER-FSDU-CFT-24F",68,0,544
"","","","","","","SER-FSDU-CFT-48F",68,0,544
"","3MS-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",84,0,704
"","","","","","","SER-FSDU-CFT-12F",84,0,704
"","","","","","","SER-FSDU-CFT-24F",84,0,704
"","","","","","","SER-FSDU-CFT-48F",84,0,704
"","3N9-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",39,0,312
"","","","","","","SER-FSDU-CFT-12F",39,0,312
"","","","","","","SER-FSDU-CFT-24F",39,0,312
"","","","","","","SER-FSDU-CFT-48F",39,0,312
"","3NK-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",245,0,2400
"","","","","","","SER-FSDU-CFT-12F",245,0,2400
"","","","","","","SER-FSDU-CFT-24F",245,0,2400
"","","","","","","SER-FSDU-CFT-48F",245,0,2400
"","3NX-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",190,0,2000
"","","","","","","SER-FSDU-CFT-12F",190,0,2000
"","","","","","","SER-FSDU-CFT-24F",190,0,2000
"","","","","","","SER-FSDU-CFT-48F",190,0,2000
"","3NY-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",95,0,1392
"","","","","","","SER-FSDU-CFT-12F",95,0,1392
"","","","","","","SER-FSDU-CFT-24F",95,0,1392
"","","","","","","SER-FSDU-CFT-48F",95,0,1392
"","3PP-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",206,0,1864
"","","","","","","SER-FSDU-CFT-12F",206,0,1864
"","","","","","","SER-FSDU-CFT-24F",206,0,1864
"","","","","","","SER-FSDU-CFT-48F",206,0,1864
"","3RB-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",58,0,504
"","","","","","","SER-FSDU-CFT-12F",58,0,504
"","","","","","","SER-FSDU-CFT-24F",58,0,504
"","","","","","","SER-FSDU-CFT-48F",58,0,504
"","3RY-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",302,0,2416
"","","","","","","SER-FSDU-CFT-12F",302,0,2416
"","","","","","","SER-FSDU-CFT-24F",302,0,2416
"","","","","","","SER-FSDU-CFT-48F",302,0,2416
"","3VH-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",240,0,2000
"","","","","","","SER-FSDU-CFT-12F",240,0,2000
"","","","","","","SER-FSDU-CFT-24F",240,0,2000
"","","","","","","SER-FSDU-CFT-48F",240,0,2000
"","A3N-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",102,0,1632
"","","","","","","SER-FSDU-CFT-12F",102,0,1632
