ID,RSU ID,RSU Code,Hoto Date ,ID (Executed),Executed FAT (Executed),Executed HP (Executed),Hoto Item (Executed),Incremental Hoto(fibre length) (Executed)
,,,,,2,32,SER-FSDU-CFT-48F,0
,ADL-0-KTK-11301,ADL-0,2023-06-20,,70,1016,SER-FSDU-CFT-6F,2155
,,,,,70,1016,SER-FSDU-CFT-12F,1655
,,,,,70,1016,SER-FSDU-CFT-24F,476
,,,,,70,1016,SER-FSDU-CFT-48F,0
,ADL-0-KTK-11301,ADL-0,2023-10-20,,165,1704,SER-FSDU-CFT-6F,5107
,,,,,165,1704,SER-FSDU-CFT-12F,3036
,,,,,165,1704,SER-FSDU-CFT-24F,1970
,,,,,165,1704,SER-FSDU-CFT-48F,0
,AEM-0-KTK-11302,AEM-0,2024-09-20,,31,424,SER-FSDU-CFT-6F,1180
,,,,,31,424,SER-FSDU-CFT-12F,512
,,,,,31,424,SER-FSDU-CFT-24F,406
,,,,,31,424,SER-FSDU-CFT-48F,0
,AEM-0-KTK-11302,AEM-0,2024-11-20,,113,1688,SER-FSDU-CFT-6F,3900
,,,,,113,1688,SER-FSDU-CFT-12F,1448
,,,,,113,1688,SER-FSDU-CFT-24F,3644
,,,,,113,1688,SER-FSDU-CFT-48F,0
,AES-0-KTK-11303,AES-0,2024-01-20,,57,784,SER-FSDU-CFT-6F,1922
,,,,,57,784,SER-FSDU-CFT-12F,973
,,,,,57,784,SER-FSDU-CFT-24F,1028
,,,,,57,784,SER-FSDU-CFT-48F,0
,AGZ-0-KTK-11304,AGZ-0,2024-07-20,,214,1904,SER-FSDU-CFT-6F,5965
,,,,,214,1904,SER-FSDU-CFT-12F,2772
,,,,,214,1904,SER-FSDU-CFT-24F,2664
,,,,,214,1904,SER-FSDU-CFT-48F,0
,AGZ-0-KTK-11304,AGZ-0,2024-08-20,,65,544,SER-FSDU-CFT-6F,1695
,,,,,65,544,SER-FSDU-CFT-12F,1101
,,,,,65,544,SER-FSDU-CFT-24F,1246
,,,,,65,544,SER-FSDU-CFT-48F,0
,AHR-0-KTK-11305,AHR-0,2023-03-20,,211,2744,SER-FSDU-CFT-6F,3161
,,,,,211,2744,SER-FSDU-CFT-12F,8650
,,,,,211,2744,SER-FSDU-CFT-24F,3648
,,,,,211,2744,SER-FSDU-CFT-48F,0
,AIJ-0-KTK-11306,AIJ-0,2023-06-20,,127,1384,SER-FSDU-CFT-6F,4487
,,,,,127,1384,SER-FSDU-CFT-12F,1736
,,,,,127,1384,SER-FSDU-CFT-24F,798
,,,,,127,1384,SER-FSDU-CFT-48F,0
,AIJ-0-KTK-11306,AIJ-0,2023-07-20,,69,712,SER-FSDU-CFT-6F,2058
,,,,,69,712,SER-FSDU-CFT-12F,1222
,,,,,69,712,SER-FSDU-CFT-24F,622
,,,,,69,712,SER-FSDU-CFT-48F,0
,AIJ-0-KTK-11306,AIJ-0,2023-08-20,,108,1184,SER-FSDU-CFT-6F,4135
,,,,,108,1184,SER-FSDU-CFT-12F,881
,,,,,108,1184,SER-FSDU-CFT-24F,1607
,,,,,108,1184,SER-FSDU-CFT-48F,0
,AJL-0-KTK-11307,AJL-0,2022-10-20,,102,1000,SER-FSDU-CFT-6F,8673
,,,,,102,1000,SER-FSDU-CFT-12F,4925
,,,,,102,1000,SER-FSDU-CFT-24F,0
,,,,,102,1000,SER-FSDU-CFT-48F,0
,AJL-0-KTK-11307,AJL-0,2023-04-20,,15,280,SER-FSDU-CFT-6F,580
,,,,,15,280,SER-FSDU-CFT-12F,0
,,,,,15,280,SER-FSDU-CFT-24F,0
,,,,,15,280,SER-FSDU-CFT-48F,0
,AKG-0-KTK-11308,AKG-0,2024-03-20,,179,1960,SER-FSDU-CFT-6F,5765
,,,,,179,1960,SER-FSDU-CFT-12F,1180
,,,,,179,1960,SER-FSDU-CFT-24F,3722
,,,,,179,1960,SER-FSDU-CFT-48F,0
,ALN-0-KTK-11309,ALN-0,2023-12-20,,115,1120,SER-FSDU-CFT-6F,3851
,,,,,115,1120,SER-FSDU-CFT-12F,1782
,,,,,115,1120,SER-FSDU-CFT-24F,1646
,,,,,115,1120,SER-FSDU-CFT-48F,0
,ALR-0-KTK-11310,ALR-0,2023-05-20,,148,2016,SER-FSDU-CFT-6F,7932
,,,,,148,2016,SER-FSDU-CFT-12F,3215
,,,,,148,2016,SER-FSDU-CFT-24F,1503
,,,,,148,2016,SER-FSDU-CFT-48F,0
,ALR-0-KTK-11310,ALR-0,2023-07-20,,56,696,SER-FSDU-CFT-6F,1091
,,,,,56,696,SER-FSDU-CFT-12F,2730
,,,,,56,696,SER-FSDU-CFT-24F,2863
,,,,,56,696,SER-FSDU-CFT-48F,0
,ALY-0-KTK-11311,ALY-0,2025-07-20,,221,2096,SER-FSDU-CFT-6F,8051
,,,,,221,2096,SER-FSDU-CFT-12F,3901
,,,,,221,2096,SER-FSDU-CFT-24F,678
,,,,,221,2096,SER-FSDU-CFT-48F,1374
,ALY-0-KTK-11311,ALY-0,2025-08-20,,44,384,SER-FSDU-CFT-6F,1966
,,,,,44,384,SER-FSDU-CFT-12F,315
,,,,,44,384,SER-FSDU-CFT-24F,432
,,,,,44,384,SER-FSDU-CFT-48F,461
,AMT-0-KTK-11312,AMT-0,2025-02-20,,206,2008,SER-FSDU-CFT-6F,8688
,,,,,206,2008,SER-FSDU-CFT-12F,2153
,,,,,206,2008,SER-FSDU-CFT-24F,4558
,,,,,206,2008,SER-FSDU-CFT-48F,0
,AMT-0-KTK-11312,AMT-0,2025-04-20,,34,352,SER-FSDU-CFT-6F,1487
,,,,,34,352,SER-FSDU-CFT-12F,487
,,,,,34,352,SER-FSDU-CFT-24F,80
,,,,,34,352,SER-FSDU-CFT-48F,0
,AMT-0-KTK-11312,AMT-0,2025-07-20,,7,120,SER-FSDU-CFT-6F,440
,,,,,7,120,SER-FSDU-CFT-12F,0
,,,,,7,120,SER-FSDU-CFT-24F,0
,,,,,7,120,SER-FSDU-CFT-48F,0
,ANN-0-KTK-11313,ANN-0,2024-11-20,,86,784,SER-FSDU-CFT-6F,3192
,,,,,86,784,SER-FSDU-CFT-12F,1032
,,,,,86,784,SER-FSDU-CFT-24F,1110
,,,,,86,784,SER-FSDU-CFT-48F,0
,ANN-0-KTK-11313,ANN-0,2024-12-20,,45,360,SER-FSDU-CFT-6F,1164
,,,,,45,360,SER-FSDU-CFT-12F,902
,,,,,45,360,SER-FSDU-CFT-24F,2500
,,,,,45,360,SER-FSDU-CFT-48F,0
,ANN-0-KTK-11313,ANN-0,2025-03-31,,7,56,SER-FSDU-CFT-6F,316
,,,,,7,56,SER-FSDU-CFT-12F,57
,,,,,7,56,SER-FSDU-CFT-24F,0
,,,,,7,56,SER-FSDU-CFT-48F,0
,ANP-0-KTK-11314,ANP-0,2024-07-20,,126,1272,SER-FSDU-CFT-6F,3438
,,,,,126,1272,SER-FSDU-CFT-12F,1114
,,,,,126,1272,SER-FSDU-CFT-24F,2069
,,,,,126,1272,SER-FSDU-CFT-48F,0
,ANP-0-KTK-11314,ANP-0,2024-08-20,,52,472,SER-FSDU-CFT-6F,2078
,,,,,52,472,SER-FSDU-CFT-12F,506
,,,,,52,472,SER-FSDU-CFT-24F,424
,,,,,52,472,SER-FSDU-CFT-48F,0
,BAK-0-KTK-11315,BAK-0,2023-07-20,,55,438,SER-FSDU-CFT-6F,2150
,,,,,55,438,SER-FSDU-CFT-12F,940
,,,,,55,438,SER-FSDU-CFT-24F,500
,,,,,55,438,SER-FSDU-CFT-48F,0
,BAK-0-KTK-11315,BAK-0,2023-08-20,,101,832,SER-FSDU-CFT-6F,3441
,,,,,101,832,SER-FSDU-CFT-12F,2836
,,,,,101,832,SER-FSDU-CFT-24F,1195
,,,,,101,832,SER-FSDU-CFT-48F,0
,BAK-0-KTK-11315,BAK-0,2023-10-20,,179,1512,SER-FSDU-CFT-6F,7312
,,,,,179,1512,SER-FSDU-CFT-12F,3559
,,,,,179,1512,SER-FSDU-CFT-24F,4908
,,,,,179,1512,SER-FSDU-CFT-48F,0
,BAK-0-KTK-11315,BAK-0,2025-04-20,,25,200,SER-FSDU-CFT-6F,1361
,,,,,25,200,SER-FSDU-CFT-12F,145
,,,,,25,200,SER-FSDU-CFT-24F,0
,,,,,25,200,SER-FSDU-CFT-48F,0
,BAK-0-KTK-11315,BAK-0,2025-06-20,,63,520,SER-FSDU-CFT-6F,3206
,,,,,63,520,SER-FSDU-CFT-12F,370
,,,,,63,520,SER-FSDU-CFT-24F,0
,,,,,63,520,SER-FSDU-CFT-48F,0
,BAK-0-KTK-11315,BAK-0,2025-07-20,,8,64,SER-FSDU-CFT-6F,431
,,,,,8,64,SER-FSDU-CFT-12F,0
,,,,,8,64,SER-FSDU-CFT-24F,0
,,,,,8,64,SER-FSDU-CFT-48F,0
,BAS-0-KTK-11316,BAS-0,2022-12-20,,46,384,SER-FSDU-CFT-6F,2696
,,,,,46,384,SER-FSDU-CFT-12F,888
,,,,,46,384,SER-FSDU-CFT-24F,0
,,,,,46,384,SER-FSDU-CFT-48F,0
,BAS-0-KTK-11316,BAS-0,2023-08-20,,15,160,SER-FSDU-CFT-6F,452
,,,,,15,160,SER-FSDU-CFT-12F,270
,,,,,15,160,SER-FSDU-CFT-24F,0
,,,,,15,160,SER-FSDU-CFT-48F,0
,BBV-0-KTK-11317,BBV-0,2023-06-20,,36,576,SER-FSDU-CFT-6F,1915
,,,,,36,576,SER-FSDU-CFT-12F,65
,,,,,36,576,SER-FSDU-CFT-24F,712
,,,,,36,576,SER-FSDU-CFT-48F,0
,BBV-0-KTK-11317,BBV-0,2023-08-20,,27,432,SER-FSDU-CFT-6F,1032
,,,,,27,432,SER-FSDU-CFT-12F,822
,,,,,27,432,SER-FSDU-CFT-24F,688
,,,,,27,432,SER-FSDU-CFT-48F,0
,BBV-0-KTK-11317,BBV-0,2024-01-20,,27,424,SER-FSDU-CFT-6F,1502
,,,,,27,424,SER-FSDU-CFT-12F,156
,,,,,27,424,SER-FSDU-CFT-24F,797
,,,,,27,424,SER-FSDU-CFT-48F,0
,BCU-0-KTK-11318,BCU-0,2025-02-20,,142,1320,SER-FSDU-CFT-6F,6280
,,,,,142,1320,SER-FSDU-CFT-12F,1211
,,,,,142,1320,SER-FSDU-CFT-24F,3241
,,,,,142,1320,SER-FSDU-CFT-48F,0
,BCU-0-KTK-11318,BCU-0,2025-03-20,,39,368,SER-FSDU-CFT-6F,1875
,,,,,39,368,SER-FSDU-CFT-12F,524
,,,,,39,368,SER-FSDU-CFT-24F,709
,,,,,39,368,SER-FSDU-CFT-48F,0
,BCU-0-KTK-11318,BCU-0,2025-04-20,,119,1152,SER-FSDU-CFT-6F,5500
,,,,,119,1152,SER-FSDU-CFT-12F,3016
,,,,,119,1152,SER-FSDU-CFT-24F,1885
,,,,,119,1152,SER-FSDU-CFT-48F,0
,BDN-0-KTK-11319,BDN-0,2024-03-20,,229,2248,SER-FSDU-CFT-6F,9157
,,,,,229,2248,SER-FSDU-CFT-12F,5382
,,,,,229,2248,SER-FSDU-CFT-24F,3019
,,,,,229,2248,SER-FSDU-CFT-48F,0
,BDN-0-KTK-11319,BDN-0,2025-02-20,,0,0,SER-FSDU-CFT-6F,1142
,,,,,0,0,SER-FSDU-CFT-12F,427
,,,,,0,0,SER-FSDU-CFT-24F,2188
,,,,,0,0,SER-FSDU-CFT-48F,0
,BDN-0-KTK-11319,BDN-0,2025-06-20,,7,56,SER-FSDU-CFT-6F,456
,,,,,7,56,SER-FSDU-CFT-12F,259
,,,,,7,56,SER-FSDU-CFT-24F,0
,,,,,7,56,SER-FSDU-CFT-48F,0
,BDN-0-KTK-11319,BDN-0,2025-07-20,,0,0,SER-FSDU-CFT-6F,544
