"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","ALN-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",142,0,1272
"","","","","","","SER-FSDU-CFT-12F",142,0,1272
"","","","","","","SER-FSDU-CFT-24F",142,0,1272
"","","","","","","SER-FSDU-CFT-48F",142,0,1272
"","ALR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",363,0,3296
"","","","","","","SER-FSDU-CFT-12F",363,0,3296
"","","","","","","SER-FSDU-CFT-24F",363,0,3296
"","","","","","","SER-FSDU-CFT-48F",363,0,3296
"","ALY-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",329,0,2984
"","","","","","","SER-FSDU-CFT-12F",329,0,2984
"","","","","","","SER-FSDU-CFT-24F",329,0,2984
"","","","","","","SER-FSDU-CFT-48F",329,0,2984
"","AMT-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",315,0,2960
"","","","","","","SER-FSDU-CFT-12F",315,0,2960
"","","","","","","SER-FSDU-CFT-24F",315,0,2960
"","","","","","","SER-FSDU-CFT-48F",315,0,2960
"","ANN-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",167,0,1408
"","","","","","","SER-FSDU-CFT-12F",167,0,1408
"","","","","","","SER-FSDU-CFT-24F",167,0,1408
"","","","","","","SER-FSDU-CFT-48F",167,0,1408
"","ANP-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",206,0,2064
"","","","","","","SER-FSDU-CFT-12F",206,0,2064
"","","","","","","SER-FSDU-CFT-24F",206,0,2064
"","","","","","","SER-FSDU-CFT-48F",206,0,2064
"","BAK-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",513,0,4432
"","","","","","","SER-FSDU-CFT-12F",513,0,4432
"","","","","","","SER-FSDU-CFT-24F",513,0,4432
"","","","","","","SER-FSDU-CFT-48F",513,0,4432
"","BAS-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",84,0,672
"","","","","","","SER-FSDU-CFT-12F",84,0,672
"","","","","","","SER-FSDU-CFT-24F",84,0,672
"","","","","","","SER-FSDU-CFT-48F",84,0,672
"","BBV-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",103,0,1614
"","","","","","","SER-FSDU-CFT-12F",103,0,1614
"","","","","","","SER-FSDU-CFT-24F",103,0,1614
"","","","","","","SER-FSDU-CFT-48F",103,0,1614
"","BCU-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",368,0,3056
"","","","","","","SER-FSDU-CFT-12F",368,0,3056
"","","","","","","SER-FSDU-CFT-24F",368,0,3056
"","","","","","","SER-FSDU-CFT-48F",368,0,3056
"","BDN-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",313,0,2864
"","","","","","","SER-FSDU-CFT-12F",313,0,2864
"","","","","","","SER-FSDU-CFT-24F",313,0,2864
